Marque_Modele,VERSION,ENERGIE,Boite_de_vitesse,PUISS_FISCALE,DATE,MALUS,PRIX_Neuf
Dacia Logan MCV,1.5 Blue dCi 95 Stepway (Break),Diesel,Manuelle,5CV,10/2018,0,15860
Volkswagen Up!,1.0 60 BVM5 Beats Audio (5p.),Essence,Manuelle,3CV,01/2020,0,15865
Fiat 500,1.2i 69 Eco Pack Collezione Fall (3p.),Essence,Manuelle,4CV,10/2018,190,15890
Kia Picanto,1.2 84 ch BVM5 X Line (5p.),Essence,Manuelle,5CV,01/2020,150,15890
Nissan Micra,0.9 IG-T 90 Visia Pack (5p.),Essence,Manuelle,5CV,05/2018,230,15890
Citroen C1,Airscape VTi 72 Shine (5p.),Essence,Manuelle,4CV,01/2020,0,15900
Renault Twingo,1.0i SCe 75 Le coq sportif (5p.),Essence,Manuelle,4CV,03/2019,0,15900
Skoda Fabia,1.0 MPI 60 BVM5 Drive 125 ans (5p.),Essence,Manuelle,3CV,10/2019,0,15950
Toyota Yaris Société,70 VVT-i Active (5p.),Essence,Manuelle,4CV,09/2018,0,15964
Fiat 500,1.0 Micro-hybride 70 Lounge (3p.),Essence,Manuelle,4CV,12/2019,0,15990
Fiat 500,1.2 69 Dualogic Pop (3p.),Essence,Automatique,4CV,12/2019,150,15990
Fiat 500,1.2i 69 Rockstar (3p.),Essence,Manuelle,4CV,05/2019,210,15990
Fiat 500,1.2i 69 Eco Pack Star (3p.),Essence,Manuelle,4CV,05/2019,0,15990
Fiat Panda,0.9 85/70 TwinAir GNV Lounge (5p.),GPL,Manuelle,4CV,12/2018,0,15990
Fiat Panda,1.0 Micro-hybride 70 Trussardi (5p.),Essence,Manuelle,4CV,01/2020,0,15990
Fiat Tipo,1.4 95 Mirror (4p.),Essence,Manuelle,5CV,03/2019,740,15990
Mitsubishi Space Star,1.2i MIVEC 80 CVT Intense (5p.),Essence,Automatique,4CV,08/2018,190,15990
Dacia Lodgy,TCe 130 FAP 15 ans (Monospace),Essence,Manuelle,7CV,02/2020,983,16000
Dacia Lodgy,TCe 130 FAP 15 ans (Monospace),Essence,Manuelle,7CV,02/2020,1172,16000
Ford Fiesta,1.1 75 BVM5 Cool & Connect (3p.),Essence,Manuelle,4CV,11/2019,0,16050
Dacia Logan MCV,Blue dCi 95 15 ans (Break),Diesel,Manuelle,5CV,02/2020,0,16160
Nissan Micra,1.0i IG-T 100 Visia Pack (5p.),Essence,Manuelle,5CV,12/2018,0,16190
Nissan Micra,IG-T 100 Visia Pack (5p.),Essence,Manuelle,5CV,03/2019,0,16190
Nissan Micra,IG-T 100 Visia Pack (5p.),Essence,Manuelle,5CV,06/2019,0,16190
Citroen C1,Airscape VTi 72 Urban Ride (5p.),Essence,Manuelle,4CV,01/2020,0,16200
Citroen C3 Société,1.2i 12V 82 PureTech Feel NAV (5p.),Essence,Manuelle,4CV,07/2018,0,16230
Ford Tourneo Courier,1.5TD 75 BV6 Trend (Monospace),Diesel,Manuelle,4CV,04/2018,0,16250
Toyota Yaris,70 VVT-i France (5p.),Essence,Manuelle,4CV,09/2018,0,16250
Fiat Panda,0.9i TwinAir 85 4x4 Wild (5p.),Essence,Manuelle,5CV,06/2018,240,16290
Kia Rio,1.2L 84 Urban Edition (5p.),Essence,Manuelle,5CV,10/2019,310,16290
Suzuki Baleno,1.2 DualJet Pack (5p.),Essence,Manuelle,5CV,09/2018,0,16290
Hyundai i10,1.0 67 BVR Edition #1 (5p.),Essence,Manuelle,4CV,12/2019,0,16300
Hyundai i10,1.2 84 Edition #1 (5p.),Essence,Manuelle,4CV,12/2019,0,16300
Dacia Lodgy,1.5 Blue dCi 95 Essentiel (Monospace),Diesel,Manuelle,5CV,06/2019,0,16350
Dacia Lodgy,Blue dCi 95 Essentiel (Monospace),Diesel,Manuelle,5CV,02/2020,0,16350
Peugeot 108,1.0i 12V VTi 72 BVM5 GT Line (5p.),Essence,Manuelle,4CV,04/2019,0,16350
Ford Tourneo Courier,1.5 TDCI 100 BV6 Ambiente (Monospace),Diesel,Manuelle,5CV,09/2019,0,16360
Toyota Yaris Société,70 VVT-i Active Clim (3p.),Essence,Manuelle,4CV,09/2018,0,16366
Fiat Fiorino Combi My,1.4 i.e. Euro 6D (Combiné),Essence,Manuelle,5CV,05/2018,7086,16380
Nissan Micra,1.0 IG 71 Acenta (5p.),Essence,Manuelle,4CV,05/2018,280,16390
Dacia Lodgy,1.4i 16V TCe 130 Stepway (Monospace),Essence,Manuelle,7CV,01/2019,1172,16400
Dacia Lodgy,TCe 130 FAP Stepway (Monospace),Essence,Manuelle,7CV,02/2020,1074,16400
Ford Fiesta,1.1 75 BVM5 Cool & Connect (5p.),Essence,Manuelle,4CV,11/2019,0,16450
Volkswagen Polo,1.0i 80 BVM5 Polo (5p.),Essence,Manuelle,4CV,06/2019,0,16470
Fiat 500,1.2 69 Dualogic Lounge (3p.),Essence,Automatique,4CV,10/2019,125,16490
Fiat 500,1.0 Micro-hybride 70 Sport (3p.),Essence,Manuelle,4CV,12/2019,0,16490
Fiat 500,1.2 69 Dualogic Sport (3p.),Essence,Automatique,4CV,10/2019,125,16490
Fiat 500 C,1.2 69 Euro 6D Dualogic Pop (Cabriolet),Essence,Automatique,4CV,10/2018,260,16490
Fiat Panda,0.9 85 TwinAir Trussardi (5p.),Essence,Manuelle,4CV,09/2019,0,16490
Fiat Tipo,1.4 95 Easy (4p.),Essence,Manuelle,5CV,07/2018,740,16490
Fiat Tipo,1.4 95 Mirror (4p.),Essence,Manuelle,5CV,08/2019,740,16490
Fiat Tipo 5p.,1.4 95 Pop (5p.),Essence,Manuelle,6CV,07/2018,740,16490
Fiat Tipo 5p.,1.4 95 Street (5p.),Essence,Manuelle,5CV,08/2019,740,16490
Fiat Tipo Station Wagon,1.4 95 (Break),Essence,Manuelle,6CV,07/2018,740,16490
Fiat Tipo Station Wagon,1.4 95 (Break),Essence,Manuelle,5CV,08/2019,740,16490
Lada 4X4,1.7i 81 GPL Kamouflage (Tout-Terrain),GPL,Manuelle,6CV,06/2013,16149,16490
Lada 4X4,1.7i 81 GPL Tsarina (Tout-Terrain),GPL,Manuelle,6CV,09/2012,16149,16490
Citroen C3,1.2i 12V 82 PureTech Graphic (5p.),Essence,Manuelle,4CV,07/2018,0,16500
Peugeot 108,1.0i 12V VTi 72 BVM5 Collection TOP! (5p.),Essence,Manuelle,4CV,04/2019,0,16500
Renault Clio,1.0 SCe 75 Zen (5p.),Essence,Manuelle,4CV,09/2019,100,16500
Renault Clio Société,1.0 SCe 75 AIR NAV (5p.),Essence,Manuelle,4CV,10/2019,100,16500
Seat Ibiza,1.0 80 ch BVM5 Reference Business (5p.),Essence,Manuelle,4CV,02/2020,0,16525
Suzuki Ignis,1.2 DualJet Hybrid AllGrip Privilège (5p.),Essence,Manuelle,4CV,08/2019,0,16540
Dacia Duster,1.3i 16V TCe 130 4x2 Essentiel (Tout-Terrain),Essence,Manuelle,7CV,12/2018,1276,16550
Dacia Lodgy,1.5 Blue dCi 115 Essentiel (Monospace),Diesel,Manuelle,6CV,06/2019,0,16550
Dacia Lodgy,Blue dCi 115 Essentiel (Monospace),Diesel,Manuelle,6CV,02/2020,0,16550
Skoda Fabia Combi,1.0 MPI 60 BVM5 Drive 125 ans (Break),Essence,Manuelle,3CV,01/2020,0,16550
Fiat 500,1.2i 69 Euro 6D Dualogic Lounge (3p.),Essence,Automatique,4CV,10/2018,260,16590
Fiat Tipo,1.3D MultiJet 95 (4p.),Diesel,Manuelle,5CV,06/2018,0,16590
Fiat Tipo,1.3 MultiJet 95 (4p.),Diesel,Manuelle,5CV,08/2019,0,16590
Nissan Micra,IG 71 Acenta (5p.),Essence,Manuelle,4CV,03/2019,280,16590
Dacia Lodgy,TCe 130 FAP 15 ans (Monospace),Essence,Manuelle,7CV,02/2020,1074,16600
Dacia Lodgy,TCe 130 FAP 15 ans (Monospace),Essence,Manuelle,7CV,02/2020,1172,16600
Ford Fiesta,1.1 75 BVM5 Connect Business (3p.),Essence,Manuelle,4CV,11/2019,0,16600
Nissan Micra,IG 71 Made in France (5p.),Essence,Manuelle,4CV,10/2018,280,16640
Suzuki Ignis,1.2 DualJet Hybrid Pack (5p.),Essence,Manuelle,4CV,08/2019,0,16640
Toyota Yaris,70 VVT-i Ultimate (5p.),Essence,Manuelle,4CV,12/2019,0,16650
Volkswagen Polo,1.0 80 BVM5 Edition (5p.),Essence,Manuelle,4CV,10/2019,0,16670
Renault Twingo,0.9i TCe 95 Le coq sportif (5p.),Essence,Manuelle,5CV,03/2019,0,16700
Suzuki Ignis,1.2i DualJet 90 BVA Auto (AGS) (5p.),Essence,Automatique,5CV,12/2016,0,16740
Fiat 500,1.2i 69 Dualogic 500 by Harcourt (3p.),Essence,Automatique,4CV,04/2019,260,16790
Fiat 500,1.2i 69 Eco Pack Club (3p.),Essence,Manuelle,4CV,10/2018,190,16790
Fiat 500,1.2i 69 Euro 6D Dualogic S (3p.),Essence,Automatique,4CV,10/2018,260,16790
Dacia Duster,1.5 Blue dCi 95 4x2 Essentiel (Tout-Terrain),Diesel,Manuelle,5CV,07/2018,0,16800
Opel Adam,1.4 Twinport 87 Black Edition (3p.),Essence,Manuelle,5CV,06/2018,650,16800
Opel Adam,1.4 Twinport 87 White Edition (3p.),Essence,Manuelle,5CV,11/2018,650,16800
Opel Corsa,1.2 Turbo 100 BVM6 Edition (5p.),Essence,Manuelle,5CV,07/2019,0,16800
Toyota Yaris,1.5 VVT-i 110 France (3p.),Essence,Manuelle,4CV,09/2018,190,16800
Kia Rio,1.2L 84 Urban Edition Business (5p.),Essence,Manuelle,5CV,10/2019,310,16840
Ford Tourneo Courier,1.5TD 100 BV6 Trend (Monospace),Diesel,Manuelle,5CV,04/2018,0,16870
Skoda Fabia,1.0 TSI 95 BVM5 Business (5p.),Essence,Manuelle,5CV,05/2018,0,16870
Fiat 500,1.2i 69 Euro 6D Dualogic Collezione Fall (3p.),Essence,Automatique,4CV,10/2018,260,16890
Renault Clio,1.0i SCe 75 Business (5p.),Essence,Manuelle,4CV,07/2019,100,16900
Renault Twingo,0.9i TCe 95 EDC Intens (5p.),Essence,Automatique,5CV,03/2019,150,16900
Seat Arona,1.0 EcoTSI 95 BVM5 Réference (Tout-Terrain),Essence,Manuelle,5CV,09/2018,0,16900
Dacia Dokker,1.5 Blue dCi 95 Stepway (Combiné),Diesel,Manuelle,5CV,09/2018,190,16950
Dacia Dokker,Blue dCi 95 Stepway (Combiné),Diesel,Manuelle,5CV,02/2020,75,16950
Dacia Duster,1.0i 12V TCE 100 4x2 Prestige (Tout-Terrain),Essence,Manuelle,5CV,12/2019,280,16950
Dacia Duster,ECO-G 100 4x2 Prestige (Tout-Terrain),GPL,Manuelle,5CV,02/2020,400,16950
Toyota Yaris Société,70 VVT-i Active Clim (5p.),Essence,Manuelle,4CV,09/2018,0,16966
Fiat 500,1.2 69 Eco Pack Diva (3p.),Essence,Manuelle,4CV,10/2019,0,16990
Fiat 500,1.2 69 Dualogic Lounge (3p.),Essence,Automatique,4CV,12/2019,150,16990
Fiat 500,1.0 Micro-hybride 70 Star (3p.),Essence,Manuelle,4CV,12/2019,0,16990
Fiat 500 L,1.4 95 Urban (Monospace),Essence,Manuelle,5CV,10/2019,740,16990
Lada 4X4,1.7i 81 GPL KAMOUFLAGE (Tout-Terrain),GPL,Manuelle,10CV,06/2013,20000,16990
Lada 4X4,1.7i 81 GPL TSARINA (Tout-Terrain),GPL,Manuelle,10CV,09/2012,20000,16990
Seat Ibiza,1.0 80 BVM5 Style (5p.),Essence,Manuelle,4CV,06/2018,0,16990
Ford Fiesta,1.1 75 BVM5 Connect Business (5p.),Essence,Manuelle,4CV,11/2019,0,17000
Opel Corsa,1.2 75 BVM6 Edition Business (5p.),Essence,Manuelle,4CV,07/2019,0,17000
Ford Fiesta,1.0 EcoBoost 95 BVM6 Cool & Connect (3p.),Essence,Manuelle,5CV,11/2019,0,17050
Toyota Yaris,70 VVT-i France Connect (5p.),Essence,Manuelle,4CV,09/2019,0,17050
Toyota Yaris,70 VVT-i France Connect (5p.),Essence,Manuelle,4CV,02/2019,0,17050
Fiat 500,0.9i TwinAir 85 Lounge (3p.),Essence,Manuelle,4CV,05/2019,0,17090
Fiat 500,0.9i TwinAir 85 Sport (3p.),Essence,Manuelle,4CV,05/2019,0,17090
Ford Fiesta,1.0 EcoBoost 95 BVM6 Connect Business Nav (3p.),Essence,Manuelle,5CV,11/2019,0,17100
Ford Fiesta,1.1 75 BVM5 Connect Business Nav (3p.),Essence,Manuelle,4CV,11/2019,0,17100
Kia Picanto,1.0 T-GDi 100 BVM5 GT Line (5p.),Essence,Manuelle,5CV,12/2018,0,17100
Toyota Yaris Société,70 VVT-i France Business (5p.),Essence,Manuelle,4CV,09/2018,0,17100
Toyota Yaris Société,70 VVT-i France Business (5p.),Essence,Manuelle,4CV,09/2019,0,17100
Dacia Lodgy,1.5 Blue dCi 115 Essentiel (Monospace),Diesel,Manuelle,6CV,06/2019,0,17150
Dacia Lodgy,Blue dCi 115 Essentiel (Monospace),Diesel,Manuelle,6CV,02/2020,0,17150
Fiat 500,0.9i TwinAir 85 Euro 6D Lounge (3p.),Essence,Manuelle,4CV,06/2018,0,17190
Suzuki Swift,1.2 DualJet Hybrid Pack (5p.),Essence,Manuelle,4CV,08/2019,0,17190
Kia Picanto,1.0 T-GDi 100 BVM5 GT Line (5p.),Essence,Manuelle,5CV,01/2020,0,17200
Volkswagen Polo,1.0 TSI 95 BVM5 Polo (5p.),Essence,Manuelle,5CV,06/2019,0,17230
Suzuki Baleno,1.2 DualJet Hybrid Pack (5p.),Essence,Manuelle,4CV,08/2019,0,17250
Fiat 500,1.2i 69 Dualogic Rockstar (3p.),Essence,Automatique,4CV,05/2019,125,17290
Fiat 500,1.2i 69 Euro 6D S Plus (3p.),Essence,Manuelle,4CV,10/2018,360,17290
Fiat 500,1.2i 69 Dualogic Star (3p.),Essence,Automatique,4CV,05/2019,125,17290
Fiat 500 C,1.2 69 Dualogic Pop (Cabriolet),Essence,Automatique,4CV,10/2019,125,17290
Fiat Panda,0.9i TwinAir 85 4x4 (5p.),Essence,Manuelle,5CV,06/2018,240,17290
Nissan Micra,0.9 IG-T 90 Acenta (5p.),Essence,Manuelle,5CV,05/2018,230,17290
Suzuki Swift,1.2 Dualjet Hybrid Allgrip Privilège (5p.),Essence,Manuelle,4CV,10/2019,0,17290
Hyundai i20,1.2i 84 Intuitive (5p.),Essence,Manuelle,5CV,05/2018,280,17300
Nissan Micra Société,1.0 IG 71 Business Edition (5p.),Essence,Manuelle,4CV,05/2018,280,17300
Skoda Fabia,1.0 TSI 110 BVM6 Business (5p.),Essence,Manuelle,6CV,06/2019,0,17330
Kia Rio,1.0L T-GDi 100 Urban Edition (5p.),Essence,Manuelle,5CV,10/2019,0,17390
Nissan Micra,1.0i IG-T 100 CVT Visia Pack (5p.),Essence,Automatique,5CV,12/2018,75,17390
Nissan Micra,IG-T 100 Xtronic Visia Pack (5p.),Essence,Automatique,5CV,06/2019,0,17390
Nissan Micra,IG-T 100 Xtronic Visia Pack (5p.),Essence,Automatique,5CV,03/2019,75,17390
Dacia Duster,ECO-G 100 4x2 15 ans (Tout-Terrain),GPL,Manuelle,5CV,02/2020,400,17400
Dacia Duster,TCe 100 4x2 15 ans (Tout-Terrain),Essence,Manuelle,5CV,02/2020,280,17400
Dacia Duster,1.5 Blue dCi 115 4x2 Essentiel (Tout-Terrain),Diesel,Manuelle,6CV,07/2018,0,17400
Toyota Yaris,1.5 VVT-i 110 France (5p.),Essence,Manuelle,6CV,09/2018,190,17400
Ford Fiesta,1.0 EcoBoost 95 BVM6 Cool & Connect (5p.),Essence,Manuelle,5CV,11/2019,0,17450
Skoda Fabia Combi,1.0 TSI 95 BVM5 Business (Break),Essence,Manuelle,5CV,05/2018,0,17470
Fiat 500,1.0 Micro-hybride 70 Rockstar (3p.),Essence,Manuelle,4CV,12/2019,0,17490
Fiat 500,1.2 69 Dualogic Sport (3p.),Essence,Automatique,4CV,12/2019,150,17490
Fiat Tipo 5p.,1.4 95 Mirror (5p.),Essence,Manuelle,6CV,11/2018,740,17490
Suzuki Baleno,1.0 BoosterJet Pack (5p.),Essence,Manuelle,6CV,09/2018,150,17490
Citroen C3,PureTech 110 BVM6 Feel (5p.),Essence,Manuelle,6CV,01/2020,0,17500
Ford Fiesta,1.1 75 BVM5 Connect Business Nav (5p.),Essence,Manuelle,4CV,11/2019,0,17500
Nissan Micra,IG-T 90 Made in France (5p.),Essence,Manuelle,5CV,10/2018,230,17540
Fiat 500 C,1.2i 69 Eco Pack Lounge (Cabriolet),Essence,Manuelle,4CV,10/2018,190,17590
Nissan Micra,1.0i IG-T 100 Acenta (5p.),Essence,Manuelle,5CV,12/2018,0,17590
Nissan Micra Société,IG 71 Business Edition (5p.),Essence,Manuelle,4CV,03/2019,280,17590
Ford Fiesta,1.0 EcoBoost 95 BVM6 Connect Business (3p.),Essence,Manuelle,5CV,11/2019,0,17600
Hyundai i20,1.2 84 Edition #Style (5p.),Essence,Manuelle,5CV,01/2020,280,17600
Dacia Duster,1.3i 16V TCe 130 4x2 Confort (Tout-Terrain),Essence,Manuelle,7CV,12/2018,1276,17650
Dacia Lodgy,1.5 Blue dCi 115 Stepway (Monospace),Diesel,Manuelle,6CV,09/2018,0,17650
Dacia Lodgy,Blue dCi 115 Stepway (Monospace),Diesel,Manuelle,6CV,02/2020,0,17650
Mazda 2,1.5L SKYACTIV-G 90 Elegance (5p.),Essence,Manuelle,4CV,09/2019,0,17650
Seat Ibiza,1.0 80 BVM5 Urban (5p.),Essence,Manuelle,4CV,06/2018,0,17685
Fiat 500,0.9i TwinAir 85 Euro 6D S (3p.),Essence,Manuelle,4CV,06/2018,0,17690
Citroen C3,1.2i 12V 82 PureTech Feel Business (5p.),Essence,Manuelle,4CV,07/2018,0,17700
Peugeot 208,1.2i 12V 75 BVM5 Active (5p.),Essence,Manuelle,4CV,06/2019,0,17700
Skoda Fabia,1.0 TSI 95 BVM5 Drive 125 ans (5p.),Essence,Manuelle,5CV,10/2019,0,17750
Toyota Yaris Société,70 VVT-i France Business (5p.),Essence,Manuelle,4CV,09/2018,0,17764
Toyota Yaris Société,70 VVT-i FRANCE BUSINESS (5p.),Essence,Manuelle,4CV,09/2019,0,17764
Fiat 500,1.2i 69 Euro 6D Dualogic Club (3p.),Essence,Automatique,4CV,10/2018,260,17790
Fiat 500,0.9i TwinAir 85 Euro 6D Collezione Fall (3p.),Essence,Manuelle,4CV,10/2018,0,17790
Fiat 500 C,1.0 Micro-hybride 70 Pop (Cabriolet),Essence,Manuelle,4CV,12/2019,0,17790
Nissan Micra,IG-T 100 Acenta (5p.),Essence,Manuelle,5CV,03/2019,0,17790
Nissan Micra,IG-T 100 Acenta (5p.),Essence,Manuelle,5CV,06/2019,0,17790
Opel Adam,1.4 Twinport 87 Rocks (3p.),Essence,Manuelle,5CV,02/2018,818,17800
Toyota Yaris,110 VVT-i Ultimate (5p.),Essence,Manuelle,6CV,12/2019,190,17800
Dacia Lodgy,Blue dCi 115 15 ans (Monospace),Diesel,Manuelle,6CV,02/2020,0,17850
Dacia Lodgy,Blue dCi 115 15 ans (Monospace),Diesel,Manuelle,6CV,02/2020,0,17850
Toyota Yaris,70 VVT-i Design Y20 (5p.),Essence,Manuelle,4CV,09/2018,0,17850
Toyota Yaris,70 VVT-i Design Y20 (5p.),Essence,Manuelle,4CV,09/2019,0,17850
Fiat 500,1.2i 69 Eco Pack 500-120th (3p.),Essence,Manuelle,4CV,03/2019,190,17890
Fiat 500,0.9i TwinAir 85 Rockstar (3p.),Essence,Manuelle,4CV,05/2019,0,17890
Fiat 500,0.9i TwinAir 85 Star (3p.),Essence,Manuelle,4CV,05/2019,0,17890
Renault Twingo,0.9i TCe 95 EDC Le coq sportif (5p.),Essence,Automatique,5CV,03/2019,150,17900
Skoda Fabia Combi,1.0 TSI 110 BVM6 Business (Break),Essence,Manuelle,6CV,06/2019,0,17930
Kia Rio,1.0L T-GDi 100 Urban Edition Business (5p.),Essence,Manuelle,5CV,10/2019,0,17940
Peugeot 208 Société,1.5 BlueHDi 100 BVM5 PREMIUM (5p.),Diesel,Manuelle,5CV,12/2018,0,17940
Peugeot 108,1.0i 12V VTi 72 BVM5 Roland Garros TOP! (5p.),Essence,Manuelle,4CV,04/2019,0,17950
Citroen C3 Société,1.5 BlueHDi 100 FEEL (5p.),Diesel,Manuelle,5CV,01/2019,0,17970
Ford Transit Courier Fourgon,1.0E 100 BV6 Ambiente (Fourgon),Essence,Manuelle,6CV,04/2018,240,17988
Fiat 500,1.2i 69 Eco Pack Club (3p.),Essence,Manuelle,4CV,05/2019,0,17990
Fiat 500,1.0 Micro-hybride 70 Hybrid Launch Edition (3p.),Essence,Manuelle,4CV,02/2020,0,17990
Fiat 500,1.2 69 Dualogic Star (3p.),Essence,Automatique,4CV,12/2019,150,17990
Fiat 500 C,1.2i 69 Eco Pack Lounge (Cabriolet),Essence,Manuelle,4CV,05/2019,0,17990
Fiat 500 C,1.2i 69 Sport (Cabriolet),Essence,Manuelle,4CV,05/2019,210,17990
Fiat Tipo 5p.,1.4 95 Easy (5p.),Essence,Manuelle,6CV,07/2018,740,17990
Fiat Tipo 5p.,1.4 95 Mirror (5p.),Essence,Manuelle,5CV,08/2019,740,17990
Fiat Tipo Station Wagon,1.4 95 Pop (Break),Essence,Manuelle,6CV,07/2018,740,17990
Fiat Tipo Station Wagon,1.4 95 Street (Break),Essence,Manuelle,5CV,08/2019,740,17990
Ford Tourneo Courier,1.5TD 75 BV6 Titanium (Monospace),Diesel,Manuelle,4CV,04/2018,0,17990
Kia Stonic,1.0i 100 BVM5 Motion (Tout-Terrain),Essence,Manuelle,5CV,06/2018,170,17990
Seat Ibiza,1.0 EcoTSI 95 BVM5 Style (5p.),Essence,Manuelle,5CV,04/2017,0,17990
Ford Fiesta,1.0 EcoBoost 95 BVM6 Connect Business (5p.),Essence,Manuelle,5CV,11/2019,0,18000
Peugeot 208,1.5 BlueHDi 100 BVM6 Like (5p.),Diesel,Manuelle,5CV,06/2019,0,18000
Renault Clio,1.0i 12V TCe 100 Zen (5p.),Essence,Manuelle,5CV,04/2019,0,18000
Renault Clio,TCe 100 GPL Zen (5p.),GPL,Manuelle,5CV,02/2020,0,18000
Citroen C3,1.2i 12V 82 PureTech Shine (5p.),Essence,Manuelle,4CV,07/2018,0,18050
Ford Fiesta,1.5 TDCi 85 BVM6 Cool & Connect (3p.),Diesel,Manuelle,4CV,02/2019,0,18050
Hyundai i20,1.0 T-GDi 100 Business (5p.),Essence,Manuelle,5CV,07/2018,0,18050
Fiat 500 C,1.2i 69 Euro 6D S (Cabriolet),Essence,Manuelle,4CV,10/2018,360,18090
Fiat Tipo,1.3D MultiJet 95 Pop (4p.),Diesel,Manuelle,5CV,06/2018,0,18090
Fiat Tipo,1.3 MultiJet 95 Street (4p.),Diesel,Manuelle,5CV,08/2019,0,18090
Fiat Tipo 5p.,1.3D MultiJet 95 (5p.),Diesel,Manuelle,5CV,06/2018,0,18090
Fiat Tipo 5p.,1.3 MultiJet 95 (5p.),Diesel,Manuelle,5CV,08/2019,0,18090
Kia Rio,1.0L T-GDi 120 Urban Edition (5p.),Essence,Manuelle,6CV,10/2019,150,18090
Nissan Micra,1.5 dCi 90 Visia Pack (5p.),Diesel,Manuelle,5CV,03/2019,0,18090
Nissan Micra,1.5 dCi 90 Visia Pack (5p.),Diesel,Manuelle,5CV,05/2018,0,18090
Suzuki Ignis,1.2 DualJet Hybrid AllGrip Pack (5p.),Essence,Manuelle,4CV,08/2019,0,18140
Fiat Fiorino Panorama My,1.4 i.e. Euro 6D (Combiné),Essence,Manuelle,5CV,05/2018,0,18144
Citroen C3,PureTech 110 BVM6 Graphic (5p.),Essence,Manuelle,6CV,01/2020,0,18150
Dacia Duster,1.3i TCe 150 FAP 4x2 Confort (Tout-Terrain),Essence,Manuelle,8CV,12/2018,1276,18150
Hyundai i20,1.0 T-GDi 100 Intuitive (5p.),Essence,Manuelle,5CV,05/2018,0,18150
Seat Ibiza,1.0 80 Style Business (5p.),Essence,Manuelle,4CV,06/2018,0,18165
Fiat 500 C,1.2i 69 Eco Pack Collezione Fall (Cabriolet),Essence,Manuelle,4CV,10/2018,190,18190
Honda Jazz,1.3 i-VTEC Elegance (5p.),Essence,Manuelle,5CV,01/2019,210,18190
Citroen C3 AirCross,1.2i 12V 110 BVM6 Live (Tout-Terrain),Essence,Manuelle,6CV,12/2019,0,18200
Nissan Micra Société,0.9 IG-T 90 Business Edition (5p.),Essence,Manuelle,5CV,05/2018,230,18200
Toyota Yaris,110 VVT-i France Connect (5p.),Essence,Manuelle,6CV,09/2019,190,18200
Toyota Yaris,1.5 VVT-i 110 France Connect (5p.),Essence,Manuelle,6CV,02/2019,190,18200
Skoda Fabia,1.0 TSI 110 BVM6 Drive 125 ans (5p.),Essence,Manuelle,6CV,10/2019,0,18210
Dacia Lodgy,1.5 Blue dCi 115 Stepway (Monospace),Diesel,Manuelle,6CV,09/2018,0,18250
Dacia Lodgy,Blue dCi 115 Stepway (Monospace),Diesel,Manuelle,6CV,02/2020,0,18250
Toyota Yaris Société,110 VVT-i France Business (5p.),Essence,Manuelle,6CV,09/2019,190,18250
Toyota Yaris Société,1.5 VVT-i 110 France Business (5p.),Essence,Manuelle,6CV,09/2018,190,18250
Fiat 500,1.2 69 Dualogic Diva (3p.),Essence,Automatique,4CV,10/2019,125,18290
Fiat 500,1.2i 69 Euro 6D Dualogic S Plus (3p.),Essence,Automatique,4CV,10/2018,260,18290
Volkswagen Polo,1.0i 80 BVM5 Lounge (5p.),Essence,Manuelle,4CV,06/2019,0,18290
Volkswagen Polo,1.0i 80 BVM5 Polo Business (5p.),Essence,Manuelle,4CV,06/2019,0,18340
Skoda Fabia Combi,1.0 TSI 95 BVM5 Drive 125 ans (Break),Essence,Manuelle,5CV,10/2019,0,18350
Ford Fiesta Société,1.5 85 BVM5 TREND (3p.),Diesel,Manuelle,6CV,11/2019,0,18390
Nissan Micra,IG-T 100 Made in France (5p.),Essence,Manuelle,5CV,10/2019,0,18390
Opel Corsa,1.2 Turbo 100 BVM6 Edition Business (5p.),Essence,Manuelle,5CV,07/2019,0,18400
Renault Clio,1.0i 12V TCe 100 Business (5p.),Essence,Manuelle,5CV,04/2019,0,18400
Renault Clio,TCe 100 GPL Business (5p.),GPL,Manuelle,5CV,02/2020,0,18400
Citroen C3 Société,1.2i 12V 82 PureTech Feel Business R (5p.),Essence,Manuelle,4CV,07/2018,0,18450
Dacia Lodgy,Blue dCi 115 15 ans (Monospace),Diesel,Manuelle,6CV,02/2020,0,18450
Dacia Lodgy,Blue dCi 115 15 ans (Monospace),Diesel,Manuelle,6CV,02/2020,0,18450
Ford Fiesta,1.5 TDCi 85 BVM6 Cool & Connect (5p.),Diesel,Manuelle,4CV,02/2019,0,18450
Hyundai i20,1.0 T-GDi 100 Edition #Style (5p.),Essence,Manuelle,5CV,01/2020,0,18450
Skoda Fabia,1.0 TSI 95 BVM5 Monte-Carlo (5p.),Essence,Manuelle,5CV,05/2018,0,18470
Fiat 500,1.2i 69 Eco Pack Repetto (3p.),Essence,Manuelle,4CV,12/2018,190,18490
Fiat 500,1.2 69 Dualogic Rockstar (3p.),Essence,Automatique,4CV,12/2019,150,18490
Fiat 500 L,1.4 95 Sport (Monospace),Essence,Manuelle,5CV,12/2019,740,18490
Fiat Tipo 5p.,1.4 95 S-Design (5p.),Essence,Manuelle,6CV,03/2019,740,18490
Dacia Duster,1.5 Blue dCi 115 4x2 Confort (Tout-Terrain),Diesel,Manuelle,6CV,07/2018,0,18500
